X,Y,businessunit_number,businessunit_name,postal_code
-76.983983,39.5854660000001,1867,"WESTMINSTER, MD",21157
-70.2381779999999,44.1177420000001,1868,"AUBURN, ME",04210
-74.915418,39.896243,1869,"MARLTON, NJ",08053
-117.175627,46.712044,1870,PULLMAN WA,99163
-75.958967,43.9765770000001,1871,"WATERTOWN, NY",13601
-111.990775,46.593418,1872,"HELENA, MT",59601
-71.4985849999999,41.7880950000001,1873,"PROVIDENCE/CRANSTON, RI",02921
-82.3103159999999,26.9322720000001,1874,"ENGLEWOOD, FL",34224
-76.646671,39.1463650000001,1875,"GLEN BURNIE, MD",21144
-105.127543,40.1493780000001,4987,LONGMONT ALT CO,80501
-85.425481,32.608056,4989,"AUBURN, AL",36830
-97.945622,36.3877840000001,499,ENID OK,73703
-87.855957,30.6588190000001,4990,"DAPHNE, AL",36526
-80.7940149999999,28.362441,4991,"COCOA, FL",32926
-85.8907839999999,37.7277110000001,4992,"ELIZABETHTOWN, KY",42701
-77.025542,40.250572,4994,MECHANICSBURG PA,17050
-79.4301389999999,36.5858860000001,4996,"DANVILLE (C), VA",24541
-81.931247,28.9344970000001,4998,"THE VILLAGES, FL",32159
-91.3272919999999,39.9384640000001,4999,"QUINCY, IL",62305
-92.437042,35.108595,5,CONWAY AR,72032
-95.140373,36.631856,50,VINITA OK,74301
-106.438333,31.896236,500,EL PASO TX,79924
-107.063224,37.2596830000001,5003,PAGOSA SPRINGS CO,81147
-81.7570479999999,30.2715480000001,5005,JACKSONVILLE WILSON FL,32210
-121.951128,38.350599,5007,VACAVILLE CA,95687
-116.979639,33.7454480000001,5008,HEMET CA,92543
-89.146671,31.7095410000001,501,LAUREL MS,39440
-84.424005,33.6562280000001,5010,DELTA PHARMACY ATLANTA GA,30354
-74.7148539999999,40.234176,5012,HAMILTON NJ,08619
-79.964871,36.0288190000001,5013,HIGH POINT WENDOVER NC,27265
-79.848981,36.0386280000001,5014,GREENSBORO HIGHT POINT NC,27407
-90.324403,29.470675,502,GALLIANO LA,70345
-96.676371,32.835963,5021,DALLAS TX,75228
-90.070212,29.925147,5022,NEW ORLEANS (HRI) LA,70130
-117.099314,32.6747720000001,5023,NATIONAL CITY CA,91950
-85.006727,41.1283290000001,5025,FT WAYNE IN,46835
-78.6940089999999,42.882479,5027,LANCASTER NY,14043
-83.612996,41.6097960000001,5028,TOLEDO (C) OH,43614
-83.4596349999999,41.6396310000001,5029,OREGON OH 11-11-02,43616
-96.538371,29.6945860000001,503,COLUMBUS TX,78934
-83.6806539999999,41.674558,5030,TOLEDO (NW) OH,43615
-111.089446,32.3562620000001,5031,"MARANA, AZ 11-12-02",85743
-117.986787,33.8446720000001,5032,BUENA PARK CA,90620
-103.769474,40.2609370000001,5033,"FORT MORGAN, CO",80701
-81.814048,26.610823,5034,"FORT MYERS, FL",33966
-81.9703489999999,27.9334040000001,5035,MULBERRY FL,33860
-82.552239,28.0618430000001,5036,TAMPA (GUNN) FL,33625
-81.534526,30.619654,5037,YULEE FL,32097
-88.2072239999999,41.653333,5038,"PLAINFIELD, IL",60585
-75.546172,39.102653,5039,CAMDEN DE 11-12-02,19934
-94.833052,29.2649970000001,504,GALVESTON TX,77551
-80.096172,40.3868890000001,5040,CARNEIGIE PA,15106
-122.171843,47.167742,5041,BONNEY LAKE WA,98391
-89.830391,35.0221530000001,5043,MEMPHIS TN 09-11-02,38125
-90.445777,42.4350470000001,5044,GALENA IL,61036
-95.5950989999999,30.0141560000001,5045,HOUSTON (SPG CYP) TX,77375
-78.4975019999999,35.6618090000001,5046,CLAYTON NC,27520
-75.084217,39.8921280000001,5047,"AUDUBON, NJ",08106
-83.6133129999999,42.513919,5048,"NEW HUDSON, MI",48165
-105.150909,39.608119,5049,LITTLETON (SW) CO,80127
-93.288017,30.8661740000001,505,"DERIDDER, LA",70634
-104.754675,40.422824,5051,GREELEY (N) CO,80634
-81.491913,30.3172270000001,5054,"JACKSONVILLE (ATLAN), FL",32225
-81.689112,26.1488370000001,5055,"NAPLES (SE), FL",34114
-90.986915,30.3304220000001,5056,"PRAIRIEVILLE, LA",70769
-86.346306,35.8314490000001,5057,MURFREESBORO TN 11-12-02,37130
-86.629224,36.060954,5058,NASHVILLE M BORO TN,37013
-87.515454,36.859343,5059,HOPKINSVILLE SW KY,42240
-88.4959939999999,38.682149,506,FLORA IL,62839
-88.339729,42.1552170000001,5060,ALGONQUIN IL,60102
-85.450138,32.6245460000001,5062,AUBURN E AL,36830
-80.7319639999999,35.138917,5063,"CHARLOTTE (MATTHEWS), NC",28270
-85.510398,42.3318390000001,5064,KALAMAZOO MI 11-11-02,49048
-85.685785,42.2930940000001,5065,KALAMAZOO (NW) MI,49009
-82.016057,41.4663540000001,5066,AVON OH,44011
-84.9090409999999,38.0352060000001,507,LAWRENCEBURG KY,40342
-115.293821,36.094051,5070,LAS VEGAS (SW2) NV,89148
-98.4803459999999,34.625749,5071,LAWTON OK 11-12-02,73505
-118.300229,33.8570340000001,5072,LOS ANGELES (SO BAY) CA EF,90501
-122.108382,47.361002,5073,COVINGTON WA,98042
-117.297811,33.1770720000001,5075,OCEANSIDE CA,92056
